# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
6.652732e+01	5.003771e-25
6.668068e+01	5.025520e-25
6.683439e+01	5.047289e-25
6.698846e+01	5.070529e-25
6.714289e+01	5.092337e-25
6.729767e+01	5.115619e-25
6.745280e+01	5.137464e-25
6.760830e+01	5.160787e-25
6.776415e+01	5.182671e-25
6.792036e+01	5.206033e-25
6.807694e+01	5.229416e-25
6.823387e+01	5.251355e-25
6.839116e+01	5.274776e-25
6.854882e+01	5.298217e-25
6.870684e+01	5.321676e-25
6.886523e+01	5.345156e-25
6.902398e+01	5.367184e-25
6.918310e+01	5.390701e-25
6.934258e+01	5.414235e-25
6.950243e+01	5.437789e-25
6.966265e+01	5.461361e-25
6.982324e+01	5.484950e-25
6.998420e+01	5.508557e-25
7.014553e+01	5.533659e-25
7.030723e+01	5.557302e-25
7.046931e+01	5.580963e-25
7.063176e+01	5.604640e-25
7.079458e+01	5.628335e-25
7.095778e+01	5.653529e-25
7.112135e+01	5.677258e-25
7.128530e+01	5.702487e-25
7.144963e+01	5.726249e-25
7.161434e+01	5.750027e-25
7.177943e+01	5.775309e-25
7.194490e+01	5.799119e-25
7.211075e+01	5.824434e-25
