# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
5.260173e+01	1.188838e-25
5.272299e+01	1.194985e-25
5.284453e+01	1.201138e-25
5.296634e+01	1.207812e-25
5.308844e+01	1.213980e-25
5.321083e+01	1.220154e-25
5.333349e+01	1.226336e-25
5.345644e+01	1.233039e-25
5.357967e+01	1.239234e-25
5.370318e+01	1.245435e-25
5.382698e+01	1.252160e-25
5.395106e+01	1.258373e-25
5.407543e+01	1.265112e-25
5.420009e+01	1.271339e-25
5.432503e+01	1.278091e-25
5.445027e+01	1.284329e-25
5.457579e+01	1.291094e-25
5.470160e+01	1.297344e-25
5.482770e+01	1.304122e-25
5.495409e+01	1.310383e-25
5.508077e+01	1.317173e-25
5.520774e+01	1.323968e-25
5.533501e+01	1.330770e-25
5.546257e+01	1.337054e-25
5.559043e+01	1.343867e-25
5.571857e+01	1.350685e-25
5.584702e+01	1.357509e-25
5.597576e+01	1.364339e-25
5.610480e+01	1.370647e-25
5.623413e+01	1.377487e-25
5.636377e+01	1.384332e-25
5.649370e+01	1.391182e-25
5.662393e+01	1.398037e-25
5.675446e+01	1.404897e-25
5.688529e+01	1.412289e-25
5.701643e+01	1.419159e-25
5.714786e+01	1.426033e-25
5.727960e+01	1.432911e-25
5.741165e+01	1.439793e-25
5.754399e+01	1.446680e-25
5.767665e+01	1.454102e-25
5.780960e+01	1.460997e-25
5.794287e+01	1.467896e-25
5.807644e+01	1.475330e-25
5.821032e+01	1.482237e-25
5.834451e+01	1.489148e-25
5.847901e+01	1.496594e-25
5.861382e+01	1.503512e-25
5.874894e+01	1.510966e-25
5.888437e+01	1.517890e-25
5.902011e+01	1.525351e-25
5.915616e+01	1.532815e-25
5.929253e+01	1.539749e-25
5.942922e+01	1.547220e-25
5.956621e+01	1.554694e-25
5.970353e+01	1.561637e-25
5.984116e+01	1.569117e-25
5.997911e+01	1.576599e-25
6.011737e+01	1.584085e-25
6.025596e+01	1.591573e-25
6.039486e+01	1.598528e-25
6.053409e+01	1.606021e-25
6.067363e+01	1.613516e-25
6.081350e+01	1.621014e-25
6.095369e+01	1.628513e-25
6.109420e+01	1.636015e-25
6.123504e+01	1.644054e-25
6.137620e+01	1.651560e-25
6.151769e+01	1.659067e-25
6.165950e+01	1.666576e-25
6.180164e+01	1.674086e-25
6.194411e+01	1.681598e-25
6.208690e+01	1.689647e-25
6.223003e+01	1.697162e-25
6.237348e+01	1.704677e-25
6.251727e+01	1.712731e-25
6.266139e+01	1.720248e-25
6.280584e+01	1.728304e-25
6.295062e+01	1.735823e-25
6.309573e+01	1.743880e-25
6.324119e+01	1.751401e-25
6.338697e+01	1.759459e-25
6.353309e+01	1.766981e-25
6.367955e+01	1.775040e-25
6.382635e+01	1.783099e-25
6.397348e+01	1.790621e-25
6.412096e+01	1.798681e-25
6.426877e+01	1.806740e-25
6.441693e+01	1.814799e-25
6.456542e+01	1.822859e-25
6.471426e+01	1.830380e-25
6.486344e+01	1.838438e-25
6.501297e+01	1.846496e-25
6.516284e+01	1.854554e-25
6.531306e+01	1.862610e-25
6.546362e+01	1.870665e-25
6.561453e+01	1.878720e-25
6.576578e+01	1.887311e-25
6.591739e+01	1.895363e-25
6.606934e+01	1.903415e-25
6.622165e+01	1.911465e-25
6.637431e+01	1.919514e-25
6.652732e+01	1.928097e-25
6.668068e+01	1.936143e-25
6.683439e+01	1.944187e-25
6.698846e+01	1.952765e-25
6.714289e+01	1.960806e-25
6.729767e+01	1.969380e-25
6.745280e+01	1.977417e-25
6.760830e+01	1.985987e-25
6.776415e+01	1.994019e-25
6.792036e+01	2.002585e-25
6.807694e+01	2.011148e-25
6.823387e+01	2.019173e-25
6.839116e+01	2.027730e-25
6.854882e+01	2.036285e-25
6.870684e+01	2.044837e-25
6.886523e+01	2.053386e-25
6.902398e+01	2.061397e-25
6.918310e+01	2.069940e-25
6.934258e+01	2.078480e-25
6.950243e+01	2.087016e-25
6.966265e+01	2.095549e-25
6.982324e+01	2.104078e-25
6.998420e+01	2.112604e-25
7.014553e+01	2.121659e-25
7.030723e+01	2.130177e-25
7.046931e+01	2.138691e-25
7.063176e+01	2.147202e-25
7.079458e+01	2.155708e-25
7.095778e+01	2.164742e-25
7.112135e+01	2.173241e-25
7.128530e+01	2.182265e-25
7.144963e+01	2.190755e-25
7.161434e+01	2.199241e-25
7.177943e+01	2.208251e-25
7.194490e+01	2.216728e-25
7.211075e+01	2.225729e-25
