# log10(T[K])  Vol_PDF  Mass_PDF  Diff_emm  Den_pdf
5.684449195861816406e+00 2.023432630258648945e+00 1.249717708815326178e+00 2.959503276865897980e-01 5.191130804025818196e-02
5.690468788146972656e+00 2.026578088194809446e+00 1.268251775420375926e+00 2.958547049913829996e-01 5.086015484651992824e-02
5.696488380432128906e+00 2.116357214781390716e+00 1.312204581398317416e+00 2.912451746678396680e-01 5.208465130459055681e-02
5.702507495880126953e+00 2.170226527605435329e+00 1.343158349363487991e+00 3.019566093096024972e-01 5.388805684589779293e-02
5.708526611328125000e+00 2.196475715107884419e+00 1.365558197897380310e+00 2.845611864376829669e-01 5.353261388081680811e-02
5.714546203613281250e+00 2.316187325919766504e+00 1.424925019120632186e+00 3.171450123471681870e-01 6.073231289500095192e-02
5.720565795898437500e+00 2.333937509689087975e+00 1.454086634551644996e+00 3.388130503140519001e-01 5.915861301712838083e-02
5.726584911346435547e+00 2.386071967167918029e+00 1.469713844371687506e+00 3.330267335749171331e-01 5.968155707319653530e-02
5.732604026794433594e+00 2.479900297568533141e+00 1.518384232538630307e+00 3.418941301255561949e-01 6.122296451050283916e-02
5.738623619079589844e+00 2.454881422391598456e+00 1.517135700937848330e+00 3.210328879579742445e-01 6.028686392715086606e-02
5.744643211364746094e+00 2.465120433392792076e+00 1.539021419584172490e+00 3.322792088121401810e-01 6.192667306896938034e-02
5.750662326812744141e+00 2.587012790666133100e+00 1.597960697664444707e+00 2.932109555873789186e-01 6.126220855715629188e-02
5.756681442260742188e+00 2.530654054070807124e+00 1.580160375849942955e+00 3.103671948404075898e-01 6.341113308761894829e-02
5.762701034545898438e+00 2.512186355717093811e+00 1.585043089565870478e+00 3.037766473906797215e-01 6.281263289039062947e-02
5.768720626831054688e+00 2.563821916254973132e+00 1.620597214432206057e+00 3.604387212268163054e-01 6.729078510098009114e-02
5.774739742279052734e+00 2.595523608818853134e+00 1.616735407394374713e+00 2.962164686623710019e-01 6.413233853968625109e-02
5.780758857727050781e+00 2.560961398920595933e+00 1.633749239273040610e+00 2.815286360999414983e-01 6.296813640274911972e-02
5.786778450012207031e+00 2.503758242907830223e+00 1.616015449759275580e+00 3.071867514942998589e-01 6.548457591512976683e-02
5.792798042297363281e+00 2.500412352472603850e+00 1.624175561619848995e+00 2.909651124563605307e-01 6.533921005178774943e-02
5.798817157745361328e+00 2.484039239883186312e+00 1.636558017502238283e+00 3.203094914014744110e-01 6.827668981749369925e-02
5.804836273193359375e+00 2.459982272729551944e+00 1.624460148825633610e+00 3.089294609435909167e-01 6.861873050607476821e-02
